brand,model_year,milage,transmission_num,price
30,2005,96600,6,26599
13,2017,98000,6,13500
0,2010,149999,6,15999
38,2019,23442,6,45000
8,2016,80000,8,62500
13,2013,162000,6,9999
10,2004,285000,4,4300
13,2018,81000,6,39985
25,2022,18000,8,81500
25,2012,149000,6,12995
13,2016,74582,6,34999
35,2017,33500,9,49500
13,2020,69487,10,26500
8,2020,4500,8,98000
3,2015,91545,6,19000
9,2019,85000,8,26500
42,2020,13554,7,124990
13,2024,23300,10,69500
25,2019,57918,8,29000
33,2007,130000,6,22500
8,2012,169000,6,15000
52,2014,95500,6,19500
4,2018,25108,8,35000
3,2014,6188,6,88950
52,2010,170000,6,9000
2,2016,26000,7,29900
13,2009,89000,6,9100
9,2012,125000,6,24000
37,2019,40237,5,53722
13,2020,64552,10,36750
21,2017,36000,6,27000
21,2019,45000,8,35000
33,2014,91500,6,13599
13,2007,167500,5,14900
3,2017,50000,6,36000
35,2014,49000,7,29999
35,2017,57500,7,23995
52,2014,186117,5,15000
21,2022,9100,8,36000
13,2022,15000,6,38500
13,2020,5400,10,68995
35,2018,42717,9,29999
13,2011,129000,6,13000
3,2014,61450,6,23000
8,2020,1275,7,69000
4,2018,37000,7,56000
13,2016,134000,6,25500
4,2023,250,6,119999
13,2013,148000,6,10000
42,2011,170000,6,8250
8,2021,1750,10,97993
43,2016,89500,6,18750
42,2023,1500,8,112500
8,2017,41500,8,31000
8,2023,4200,6,90000
13,2013,117000,6,15000
13,2008,75000,6,17900
0,2016,152000,6,21495
42,2012,87500,6,11800
13,2017,85000,6,63500
25,2011,99769,6,10299
4,2016,49899,7,54500
4,2020,25013,8,90000
13,2018,52500,6,21500
13,2016,128000,6,18000
0,2008,36000,6,35999
13,2022,16850,6,60995
15,2017,69350,7,18750
26,2010,140401,6,9200
18,2018,41000,8,34500
35,2015,93000,7,69500
4,2020,19300,7,69500
13,2012,106000,6,18900
3,2019,22800,6,45000
19,2013,13900,6,30000
13,2008,171750,6,11500
35,2014,79000,6,20500
8,2019,50000,6,24500
35,2020,49899,9,69500
25,2013,105000,6,25900
35,2017,60000,7,22000
42,2015,51354,8,31650
26,2006,178000,6,9950
43,2015,91239,8,17800
13,2014,64532,6,18995
4,2016,25786,8,54490
8,2016,91545,6,30000
4,2020,38718,8,55000
30,2012,161000,6,15900
35,2008,194000,7,4900
13,2019,52775,6,37500
4,2012,90000,8,22000
4,2015,46000,7,62500
34,2021,14684,8,89900
19,2019,38400,6,38900
8,2023,5400,8,34500
4,2002,76170,6,18500
13,2018,48000,10,49999
3,2018,53500,6,28900
35,2017,40000,7,45000
3,2011,6400,6,11500
3,2010,107000,6,14699
4,2020,35400,8,54500
8,2011,117660,6,6250
25,2019,75897,6,34600
35,2012,57350,7,17900
25,2019,40000,8,30000
8,2007,129000,6,5000
3,2019,38000,1,45999
26,2007,77800,6,10998
25,2006,90000,6,4999
18,2018,63277,6,12500
42,2006,72000,6,11495
35,2018,58375,9,20900
19,2014,91239,7,15999
8,2023,13250,8,61500
14,2022,24000,6,39500
18,2014,124705,6,25900
19,2009,110000,6,9850
3,2022,10900,7,34900
20,2017,65800,6,39999
13,2019,19200,6,65700
33,2010,82900,5,13995
13,2009,74500,6,12500
42,2016,73000,6,17000
8,2023,7000,8,94000
52,2011,153250,6,7000
8,2017,98888,6,25000
52,2005,107000,6,12499
13,2018,76474,10,27350
13,2021,93400,10,59999
42,2020,16701,8,109900
19,2008,154247,6,12500
41,1999,158000,4,2000
4,2019,29400,8,29000
42,2021,16813,8,210000
4,2019,69000,8,36949
43,2019,67647,8,36750
13,2018,187000,5,38500
14,2012,170000,6,8500
52,2005,160000,4,6750
27,2017,29000,6,35500
8,2007,129804,6,8500
8,2022,18860,10,62450
13,2007,170000,4,6250
25,2018,36632,8,53800
13,2017,25000,10,33000
43,2022,23850,8,59000
23,2020,32000,9,33000
8,2019,39000,9,31000
20,2007,8237,6,62500
4,2018,9472,6,96850
1,2017,41000,6,37900
21,1997,145000,6,9000
35,2015,104000,7,14000
8,2021,18333,8,72950
10,2017,33000,6,134999
3,2019,44000,6,40200
8,2005,207600,6,5750
20,2019,44400,8,48500
9,2014,94500,8,32450
8,2005,122945,4,12500
4,2016,56600,8,30000
4,2016,64776,8,41500
38,2011,74000,7,18000
4,2011,90000,6,13450
4,2013,79500,6,15500
3,2015,83420,6,18500
8,2012,96653,6,17500
21,2015,79785,8,22222
4,2017,129858,8,35000
21,2012,94653,6,13490
8,2010,74000,6,28900
42,2011,135606,6,4000
17,2007,111000,4,11500
26,2016,82000,6,31500
16,2008,113000,5,11400
7,2013,168600,6,55500
35,2014,90360,7,17800
10,2021,1885,6,72995
16,2005,190640,5,6299
13,2014,116210,6,32750
13,2019,29719,6,42000
19,2011,110000,7,9000
8,2020,21000,7,84500
8,2010,8984,6,28300
8,2018,18000,6,47000
3,2019,34988,8,25999
19,2022,69000,7,33999
13,2017,48000,6,26599
8,2013,70000,6,29993
26,2006,170000,6,6999
20,2015,63300,8,23000
13,2019,85000,6,27000
8,2007,100000,6,9975
13,2023,4500,10,82000
0,2006,103726,6,7100
35,2022,6581,9,45900
25,2017,33850,6,47995
35,2012,90818,7,6880
7,2012,138415,6,14500
25,2019,57918,8,37500
26,2021,22466,6,92500
13,2022,19200,10,63500
26,2019,57948,6,33333
38,2022,1185,5,36750
3,2016,77300,7,30000
4,2014,72700,8,23000
13,2021,54225,10,34955
26,2018,140500,6,8500
35,2022,15000,7,60200
3,2012,93500,6,16900
19,2016,8755,7,64600
35,2018,67800,6,51900
4,2010,79500,6,8900
52,2010,78717,4,29500
35,2011,100730,7,15500
0,2021,17500,9,26900
43,2023,1500,8,99999
41,2006,91812,4,9500
8,2019,39000,10,229900
31,2007,17000,6,38000
3,2015,72865,8,21000
35,2008,96000,7,3600
52,2010,121000,5,20950
19,2019,8307,7,28900
4,2023,4500,8,110000
9,2013,79500,4,16999
13,2021,12400,10,65900
30,2007,110022,6,6700
43,2017,120000,8,10000
14,2016,144000,6,9500
35,2016,75151,7,28700
52,2018,57939,8,31000
7,2021,4500,10,115000
38,2004,132500,6,15000
14,2017,60000,6,32000
10,2010,89500,5,15450
13,2006,149460,5,12000
35,2017,45000,7,41500
26,2015,89700,6,29000
42,2013,49750,8,28500
0,2011,125470,9,15000
8,1999,120000,4,9000
26,2015,31150,8,29900
25,2020,19250,8,86900
4,2012,135000,6,12999
25,2016,36000,8,26000
10,2010,103816,5,15500
33,2007,170000,5,6700
26,2011,192000,6,6000
38,2017,15000,5,38000
8,2007,40011,6,35470
23,2010,100730,5,12490
8,2022,14269,10,42388
8,2009,142666,6,16000
35,2020,55250,9,49999
42,2023,1518,8,84900
3,2017,26990,6,84500
